DATE,DLTRUCKSSA
1967-01-01,102.9
1967-02-01,94.9
1967-03-01,103.1
1967-04-01,100.3
1967-05-01,98.7
1967-06-01,103.3
1967-07-01,103.1
1967-08-01,100.5
1967-09-01,118.1
1967-10-01,87.7
1967-11-01,82.3
1967-12-01,106.1
1968-01-01,111.0
1968-02-01,108.7
1968-03-01,130.5
1968-04-01,115.0
1968-05-01,122.7
1968-06-01,114.6
1968-07-01,120.8
1968-08-01,122.1
1968-09-01,121.6
1968-10-01,132.0
1968-11-01,132.7
1968-12-01,131.0
1969-01-01,130.6
1969-02-01,136.0
1969-03-01,127.3
1969-04-01,128.6
1969-05-01,126.5
1969-06-01,124.0
1969-07-01,118.7
1969-08-01,130.5
1969-09-01,133.7
1969-10-01,130.6
1969-11-01,129.6
1969-12-01,135.8
1970-01-01,123.2
1970-02-01,123.1
1970-03-01,115.5
1970-04-01,116.9
1970-05-01,118.2
1970-06-01,130.2
1970-07-01,127.4
1970-08-01,128.0
1970-09-01,136.4
1970-10-01,112.2
1970-11-01,90.1
1970-12-01,86.9
1971-01-01,117.5
1971-02-01,119.7
1971-03-01,127.6
1971-04-01,139.4
1971-05-01,130.9
1971-06-01,135.4
1971-07-01,141.2
1971-08-01,136.8
1971-09-01,150.8
1971-10-01,165.2
1971-11-01,172.5
1971-12-01,163.0
1972-01-01,164.9
1972-02-01,191.4
1972-03-01,174.5
1972-04-01,176.8
1972-05-01,182.5
1972-06-01,180.9
1972-07-01,166.1
1972-08-01,154.2
1972-09-01,162.0
1972-10-01,177.0
1972-11-01,195.5
1972-12-01,190.3
1973-01-01,219.8
1973-02-01,214.3
1973-03-01,242.5
1973-04-01,200.1
1973-05-01,202.9
1973-06-01,190.4
1973-07-01,209.3
1973-08-01,207.9
1973-09-01,206.7
1973-10-01,204.5
1973-11-01,206.2
1973-12-01,208.3
1974-01-01,171.1
1974-02-01,179.7
1974-03-01,191.5
1974-04-01,195.4
1974-05-01,195.8
1974-06-01,198.5
1974-07-01,189.4
1974-08-01,235.9
1974-09-01,180.1
1974-10-01,143.3
1974-11-01,142.5
1974-12-01,153.0
1975-01-01,140.1
1975-02-01,138.7
1975-03-01,134.0
1975-04-01,153.8
1975-05-01,165.4
1975-06-01,164.3
1975-07-01,178.4
1975-08-01,181.8
1975-09-01,192.4
1975-10-01,195.4
1975-11-01,209.0
1975-12-01,201.6
1976-01-01,215.7
1976-02-01,227.5
1976-03-01,225.4
1976-04-01,226.0
1976-05-01,223.0
1976-06-01,225.4
1976-07-01,240.5
1976-08-01,232.6
1976-09-01,232.2
1976-10-01,222.6
1976-11-01,224.6
1976-12-01,237.3
1977-01-01,249.1
1977-02-01,259.0
1977-03-01,269.1
1977-04-01,262.2
1977-05-01,251.9
1977-06-01,242.6
1977-07-01,243.8
1977-08-01,252.3
1977-09-01,258.7
1977-10-01,272.0
1977-11-01,273.7
1977-12-01,281.9
1978-01-01,248.6
1978-02-01,269.7
1978-03-01,287.3
1978-04-01,306.2
1978-05-01,310.5
1978-06-01,311.7
1978-07-01,308.8
1978-08-01,308.2
1978-09-01,252.8
1978-10-01,296.5
1978-11-01,290.9
1978-12-01,277.5
1979-01-01,275.5
1979-02-01,264.2
1979-03-01,249.6
1979-04-01,236.3
1979-05-01,219.5
1979-06-01,188.3
1979-07-01,218.5
1979-08-01,231.0
1979-09-01,236.6
1979-10-01,225.0
1979-11-01,202.6
1979-12-01,192.7
1980-01-01,182.2
1980-02-01,160.8
1980-03-01,149.1
1980-04-01,134.7
1980-05-01,128.9
1980-06-01,147.2
1980-07-01,159.9
1980-08-01,139.9
1980-09-01,119.4
1980-10-01,132.7
1980-11-01,142.0
1980-12-01,133.6
1981-01-01,131.3
1981-02-01,134.8
1981-03-01,126.8
1981-04-01,135.1
1981-05-01,135.7
1981-06-01,138.0
1981-07-01,131.9
1981-08-01,161.1
1981-09-01,129.7
1981-10-01,127.7
1981-11-01,127.1
1981-12-01,106.3
1982-01-01,156.6
1982-02-01,169.2
1982-03-01,179.0
1982-04-01,156.4
1982-05-01,176.4
1982-06-01,146.2
1982-07-01,151.2
1982-08-01,156.2
1982-09-01,175.1
1982-10-01,144.1
1982-11-01,195.5
1982-12-01,164.8
1983-01-01,164.6
1983-02-01,162.2
1983-03-01,178.3
1983-04-01,197.6
1983-05-01,196.6
1983-06-01,207.1
1983-07-01,212.3
1983-08-01,205.5
1983-09-01,226.6
1983-10-01,230.4
1983-11-01,236.0
1983-12-01,262.8
1984-01-01,254.1
1984-02-01,249.1
1984-03-01,262.6
1984-04-01,271.9
1984-05-01,269.6
1984-06-01,267.4
1984-07-01,280.6
1984-08-01,261.5
1984-09-01,260.0
1984-10-01,290.2
1984-11-01,286.6
1984-12-01,244.6
1985-01-01,304.8
1985-02-01,315.5
1985-03-01,297.3
1985-04-01,284.6
1985-05-01,278.2
1985-06-01,298.9
1985-07-01,312.4
1985-08-01,312.4
1985-09-01,322.3
1985-10-01,297.9
1985-11-01,307.1
1985-12-01,302.2
1986-01-01,289.4
1986-02-01,284.5
1986-03-01,256.1
1986-04-01,300.2
1986-05-01,315.3
1986-06-01,300.3
1986-07-01,289.0
1986-08-01,353.0
1986-09-01,427.2
1986-10-01,276.4
1986-11-01,264.8
1986-12-01,319.8
1987-01-01,250.6
1987-02-01,307.5
1987-03-01,310.6
1987-04-01,312.6
1987-05-01,306.6
1987-06-01,336.3
1987-07-01,324.4
1987-08-01,342.6
1987-09-01,316.9
1987-10-01,321.8
1987-11-01,325.6
1987-12-01,327.1
1988-01-01,339.5
1988-02-01,356.4
1988-03-01,355.0
1988-04-01,343.0
1988-05-01,362.0
1988-06-01,340.2
1988-07-01,359.3
1988-08-01,343.3
1988-09-01,341.0
1988-10-01,357.6
1988-11-01,352.0
1988-12-01,344.9
1989-01-01,357.7
1989-02-01,348.8
1989-03-01,338.0
1989-04-01,361.3
1989-05-01,338.2
1989-06-01,326.4
1989-07-01,338.8
1989-08-01,372.7
1989-09-01,365.9
1989-10-01,321.8
1989-11-01,324.4
1989-12-01,329.0
1990-01-01,412.8
1990-02-01,332.4
1990-03-01,338.0
1990-04-01,334.2
1990-05-01,326.9
1990-06-01,328.8
1990-07-01,341.9
1990-08-01,317.0
1990-09-01,320.1
1990-10-01,311.7
1990-11-01,307.8
1990-12-01,288.9
1991-01-01,276.3
1991-02-01,287.4
1991-03-01,294.6
1991-04-01,284.9
1991-05-01,293.5
1991-06-01,303.4
1991-07-01,302.0
1991-08-01,299.4
1991-09-01,337.7
1991-10-01,287.2
1991-11-01,308.1
1991-12-01,337.0
1992-01-01,318.1
1992-02-01,324.4
1992-03-01,330.6
1992-04-01,332.5
1992-05-01,351.9
1992-06-01,361.7
1992-07-01,337.4
1992-08-01,368.2
1992-09-01,378.9
1992-10-01,392.6
1992-11-01,370.2
1992-12-01,381.0
1993-01-01,375.6
1993-02-01,373.3
1993-03-01,388.4
1993-04-01,419.9
1993-05-01,423.3
1993-06-01,427.7
1993-07-01,421.4
1993-08-01,400.7
1993-09-01,418.8
1993-10-01,436.0
1993-11-01,437.2
1993-12-01,468.7
1994-01-01,473.2
1994-02-01,472.9
1994-03-01,460.6
1994-04-01,486.4
1994-05-01,441.3
1994-06-01,464.6
1994-07-01,455.7
1994-08-01,470.1
1994-09-01,465.7
1994-10-01,495.9
1994-11-01,495.2
1994-12-01,477.2
1995-01-01,458.0
1995-02-01,465.6
1995-03-01,480.3
1995-04-01,453.4
1995-05-01,459.7
1995-06-01,484.9
1995-07-01,466.9
1995-08-01,469.7
1995-09-01,474.7
1995-10-01,465.5
1995-11-01,491.6
1995-12-01,535.4
1996-01-01,505.2
1996-02-01,517.9
1996-03-01,516.1
1996-04-01,502.2
1996-05-01,510.1
1996-06-01,492.5
1996-07-01,497.6
1996-08-01,516.6
1996-09-01,518.5
1996-10-01,537.5
1996-11-01,548.4
1996-12-01,517.3
1997-01-01,515.1
1997-02-01,510.1
1997-03-01,529.2
1997-04-01,509.9
1997-05-01,512.0
1997-06-01,486.5
1997-07-01,520.2
1997-08-01,547.8
1997-09-01,515.8
1997-10-01,535.6
1997-11-01,571.5
1997-12-01,571.2
1998-01-01,536.9
1998-02-01,531.6
1998-03-01,540.6
1998-04-01,567.1
1998-05-01,620.0
1998-06-01,611.9
1998-07-01,524.5
1998-08-01,509.5
1998-09-01,569.8
1998-10-01,601.3
1998-11-01,585.8
1998-12-01,602.9
1999-01-01,607.9
1999-02-01,606.0
1999-03-01,600.0
1999-04-01,600.8
1999-05-01,627.0
1999-06-01,624.9
1999-07-01,634.6
1999-08-01,626.2
1999-09-01,648.2
1999-10-01,627.0
1999-11-01,616.5
1999-12-01,661.7
2000-01-01,663.4
2000-02-01,703.6
2000-03-01,669.8
2000-04-01,640.0
2000-05-01,643.8
2000-06-01,622.0
2000-07-01,615.7
2000-08-01,640.9
2000-09-01,702.4
2000-10-01,638.3
2000-11-01,596.3
2000-12-01,583.5
2001-01-01,636.4
2001-02-01,636.0
2001-03-01,643.0
2001-04-01,604.0
2001-05-01,606.1
2001-06-01,650.4
2001-07-01,608.5
2001-08-01,609.6
2001-09-01,614.4
2001-10-01,842.8
2001-11-01,694.7
2001-12-01,643.2
2002-01-01,622.977
2002-02-01,663.472
2002-03-01,637.599
2002-04-01,653.655
2002-05-01,587.155
2002-06-01,626.78
2002-07-01,674.813
2002-08-01,710.184
2002-09-01,614.775
2002-10-01,613.776
2002-11-01,605.193
2002-12-01,697.358
2003-01-01,603.266
2003-02-01,602.916
2003-03-01,608.608
2003-04-01,649.543
2003-05-01,640.668
2003-06-01,648.692
2003-07-01,662.341
2003-08-01,734.385
2003-09-01,673.181
2003-10-01,646.477
2003-11-01,686.065
2003-12-01,700.179
2004-01-01,671.049
2004-02-01,653.803
2004-03-01,657.513
2004-04-01,670.99
2004-05-01,719.876
2004-06-01,608.214
2004-07-01,685.157
2004-08-01,687.335
2004-09-01,734.347
2004-10-01,682.089
2004-11-01,677.079
2004-12-01,690.657
2005-01-01,644.603
2005-02-01,633.534
2005-03-01,664.183
2005-04-01,673.432
2005-05-01,680.206
2005-06-01,765.546
2005-07-01,937.193
2005-08-01,657.262
2005-09-01,613.743
2005-10-01,527.907
2005-11-01,604.493
2005-12-01,670.353
2006-01-01,638.913
2006-02-01,634.546
2006-03-01,637.045
2006-04-01,602.404
2006-05-01,600.532
2006-06-01,623.773
2006-07-01,640.426
2006-08-01,581.63
2006-09-01,617.213
2006-10-01,611.962
2006-11-01,606.698
2006-12-01,600.917
2007-01-01,604.27
2007-02-01,640.025
2007-03-01,595.241
2007-04-01,616.573
2007-05-01,591.041
2007-06-01,574.657
2007-07-01,576.875
2007-08-01,616.079
2007-09-01,604.765
2007-10-01,595.471
2007-11-01,561.177
2007-12-01,562.63
2008-01-01,553.885
2008-02-01,552.083
2008-03-01,520.477
2008-04-01,475.078
2008-05-01,435.722
2008-06-01,439.739
2008-07-01,391.334
2008-08-01,494.418
2008-09-01,438.026
2008-10-01,337.404
2008-11-01,351.702
2008-12-01,339.298
2009-01-01,334.542
2009-02-01,296.759
2009-03-01,318.548
2009-04-01,313.812
2009-05-01,347.326
2009-06-01,332.932
2009-07-01,352.507
2009-08-01,430.93
2009-09-01,299.527
2009-10-01,349.373
2009-11-01,371.798
2009-12-01,368.497
2010-01-01,371.756
2010-02-01,354.342
2010-03-01,413.767
2010-04-01,410.25
2010-05-01,438.135
2010-06-01,409.594
2010-07-01,423.059
2010-08-01,422.005
2010-09-01,417.585
2010-10-01,455.085
2010-11-01,450.131
2010-12-01,454.731
2011-01-01,477.28
2011-02-01,459.644
2011-03-01,449.185
