DATE,FLTRUCKSSAAR
1976-01-01,0.182
1976-02-01,0.182
1976-03-01,0.181
1976-04-01,0.203
1976-05-01,0.208
1976-06-01,0.239
1976-07-01,0.253
1976-08-01,0.289
1976-09-01,0.279
1976-10-01,0.296
1976-11-01,0.278
1976-12-01,0.276
1977-01-01,0.313
1977-02-01,0.338
1977-03-01,0.260
1977-04-01,0.345
1977-05-01,0.363
1977-06-01,0.334
1977-07-01,0.340
1977-08-01,0.336
1977-09-01,0.333
1977-10-01,0.313
1977-11-01,0.303
1977-12-01,0.304
1978-01-01,0.281
1978-02-01,0.282
1978-03-01,0.313
1978-04-01,0.297
1978-05-01,0.300
1978-06-01,0.317
1978-07-01,0.313
1978-08-01,0.324
1978-09-01,0.366
1978-10-01,0.431
1978-11-01,0.425
1978-12-01,0.434
1979-01-01,0.357
1979-02-01,0.416
1979-03-01,0.472
1979-04-01,0.579
1979-05-01,0.533
1979-06-01,0.488
1979-07-01,0.477
1979-08-01,0.421
1979-09-01,0.399
1979-10-01,0.443
1979-11-01,0.513
1979-12-01,0.531
1980-01-01,0.602
1980-02-01,0.561
1980-03-01,0.485
1980-04-01,0.475
1980-05-01,0.413
1980-06-01,0.465
1980-07-01,0.515
1980-08-01,0.522
1980-09-01,0.488
1980-10-01,0.464
1980-11-01,0.403
1980-12-01,0.367
1981-01-01,0.418
1981-02-01,0.466
1981-03-01,0.463
1981-04-01,0.501
1981-05-01,0.437
1981-06-01,0.473
1981-07-01,0.429
1981-08-01,0.466
1981-09-01,0.452
1981-10-01,0.396
1981-11-01,0.424
1981-12-01,0.405
1982-01-01,0.401
1982-02-01,0.379
1982-03-01,0.418
1982-04-01,0.338
1982-05-01,0.373
1982-06-01,0.354
1982-07-01,0.391
1982-08-01,0.365
1982-09-01,0.408
1982-10-01,0.543
1982-11-01,0.524
1982-12-01,0.463
1983-01-01,0.448
1983-02-01,0.319
1983-03-01,0.400
1983-04-01,0.413
1983-05-01,0.444
1983-06-01,0.503
1983-07-01,0.515
1983-08-01,0.542
1983-09-01,0.539
1983-10-01,0.427
1983-11-01,0.458
1983-12-01,0.521
1984-01-01,0.518
1984-02-01,0.571
1984-03-01,0.580
1984-04-01,0.565
1984-05-01,0.631
1984-06-01,0.652
1984-07-01,0.555
1984-08-01,0.637
1984-09-01,0.513
1984-10-01,0.671
1984-11-01,0.685
1984-12-01,0.725
1985-01-01,0.849
1985-02-01,0.806
1985-03-01,0.736
1985-04-01,0.867
1985-05-01,0.853
1985-06-01,0.785
1985-07-01,1.102
1985-08-01,0.645
1985-09-01,0.794
1985-10-01,0.832
1985-11-01,0.820
1985-12-01,0.881
1986-01-01,0.845
1986-02-01,0.915
1986-03-01,0.949
1986-04-01,0.975
1986-05-01,0.931
1986-06-01,0.864
1986-07-01,1.169
1986-08-01,0.733
1986-09-01,1.043
1986-10-01,0.942
1986-11-01,1.093
1986-12-01,1.168
1987-01-01,0.777
1987-02-01,0.936
1987-03-01,0.951
1987-04-01,1.051
1987-05-01,0.940
1987-06-01,1.036
1987-07-01,0.959
1987-08-01,0.912
1987-09-01,0.889
1987-10-01,0.877
